,Geographic area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,694193.0,757434.0,779929.0,653416.0,730259.0,753060.0,707265.0,761901.0,843593.0,628254.0
1,"New York-Newark-Jersey City, NY-NJ-PA",99165.0,123897.0,136519.0,99303.0,112708.0,120659.0,111705.0,107196.0,107964.0,68933.0
2,"Miami-Fort Lauderdale-Pompano Beach, FL",55559.0,68072.0,66925.0,52544.0,53448.0,59227.0,44520.0,58165.0,60590.0,52921.0
3,"Los Angeles-Long Beach-Anaheim, CA",62373.0,65679.0,70188.0,57674.0,69017.0,61950.0,59356.0,62075.0,56850.0,43381.0
4,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20622.0,31646.0,30101.0,24658.0,27085.0,29140.0,29684.0,22468.0,30808.0,26306.0
5,"San Francisco-Oakland-Berkeley, CA",22046.0,20474.0,23506.0,19842.0,20620.0,23261.0,21352.0,21156.0,20903.0,23479.0
6,"Dallas-Fort Worth-Arlington, TX",16054.0,16896.0,16273.0,16550.0,19585.0,18743.0,11562.0,17702.0,30521.0,22371.0
7,"Houston-The Woodlands-Sugar Land, TX",18461.0,22050.0,22575.0,17547.0,25735.0,23858.0,15120.0,22998.0,33826.0,21462.0
8,"Chicago-Naperville-Elgin, IL-IN-WI",27607.0,26941.0,26173.0,24617.0,24201.0,24907.0,23044.0,24879.0,29049.0,18588.0
9,"Atlanta-Sandy Springs-Alpharetta, GA",14344.0,14218.0,16763.0,13342.0,17105.0,15873.0,14045.0,14092.0,21001.0,16046.0
10,"Boston-Cambridge-Newton, MA-NH",18834.0,18264.0,17383.0,17311.0,18385.0,19690.0,22002.0,19680.0,17786.0,15817.0
11,"Seattle-Tacoma-Bellevue, WA",12819.0,12937.0,13064.0,8345.0,10119.0,16563.0,11042.0,9426.0,13844.0,12947.0
12,"Phoenix-Mesa-Chandler, AZ",9147.0,8922.0,9357.0,7238.0,9767.0,8386.0,7777.0,8013.0,10290.0,10579.0
13,"Minneapolis-Saint Paul-Bloomington, MN-WI",9548.0,10277.0,8922.0,7767.0,6365.0,7009.0,6422.0,6826.0,11268.0,9502.0
14,"Las Vegas-Henderson-Paradise, NV",7291.0,6532.0,7347.0,6814.0,6765.0,7753.0,6207.0,5832.0,7489.0,9017.0
15,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13139.0,13036.0,13781.0,11140.0,12566.0,12466.0,10487.0,14068.0,14973.0,8925.0
16,"San Jose-Sunnyvale-Santa Clara, CA",11303.0,11473.0,12974.0,10747.0,10904.0,11392.0,13908.0,11988.0,14172.0,8246.0
17,"Riverside-San Bernardino-Ontario, CA",12339.0,11530.0,11749.0,10525.0,13695.0,12113.0,16748.0,15449.0,11330.0,8015.0
18,"San Diego-Chula Vista-Carlsbad, CA",12326.0,12876.0,14376.0,13695.0,14189.0,14764.0,16638.0,17611.0,14609.0,7618.0
