,NaturalizedCountry,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,694193,757434,779929,653416.0,730259.0,753060.0,707265.0,761901.0,843593,628254
1,Afghanistan,1998,1758,2074,1853.0,1589.0,1444.0,1414.0,1569.0,2794,4025
2,Albania,4267,3615,3538,3131.0,3237.0,2813.0,2169.0,2203.0,2778,2308
3,Algeria,773,891,841,928.0,943.0,1035.0,949.0,918.0,1235,1063
4,American Samoa,205,180,265,187.0,296.0,285.0,216.0,182.0,279,177
5,Angola,162,166,143,145.0,132.0,131.0,125.0,147.0,136,94
6,Anguilla,38,30,26,18.0,31.0,16.0,20.0,34.0,25,19
7,Antigua and Barbuda,386,390,366,358.0,381.0,383.0,311.0,356.0,386,265
8,Argentina,3870,3909,4177,3683.0,3886.0,4015.0,3486.0,3977.0,3956,2884
9,Armenia,3965,3285,3203,2488.0,2874.0,2516.0,1994.0,2085.0,2327,1852
10,Aruba,40,27,42,28.0,37.0,28.0,32.0,33.0,54,37
11,Australia,1291,1312,1296,1159.0,1379.0,1389.0,1235.0,1545.0,1838,1436
12,Austria,271,241,248,223.0,207.0,221.0,177.0,238.0,214,160
13,Azerbaijan,1153,958,786,585.0,568.0,574.0,483.0,512.0,597,451
14,Bahamas,609,647,681,545.0,570.0,590.0,481.0,590.0,640,481
15,Bahrain,80,93,76,90.0,79.0,80.0,77.0,86.0,116,79
16,Bangladesh,7325,8417,9571,7475.0,9750.0,9949.0,8629.0,7797.0,9067,6883
17,Barbados,648,687,683,550.0,646.0,651.0,645.0,555.0,625,399
18,Belarus,1814,1896,1797,1437.0,1710.0,1518.0,1313.0,1393.0,1730,1302
19,Belgium,525,522,513,408.0,505.0,514.0,493.0,520.0,575,430
20,Belize,742,817,966,773.0,851.0,870.0,810.0,859.0,950,669
21,Benin,183,210,206,229.0,310.0,317.0,309.0,249.0,343,297
22,Bermuda,58,65,59,67.0,66.0,61.0,65.0,70.0,64,52
23,Bhutan,55,42,275,2639.0,4562.0,5563.0,5557.0,6180.0,6920,4536
24,Bolivia,1446,2063,1961,1527.0,1689.0,1862.0,1806.0,1575.0,1679,1208
25,Bosnia and Herzegovina,4259,4904,3662,2509.0,3304.0,2257.0,1780.0,1805.0,1709,1059
26,Botswana,9,11,29,24.0,28.0,29.0,27.0,38.0,41,34
27,Brazil,10251,9884,9565,8625.0,10516.0,10268.0,9701.0,10538.0,10451,8323
28,Brunei,11,17,11,15.0,13.0,10.0,11.0,15.0,26,19
29,Bulgaria,3103,2964,2646,2226.0,2336.0,2086.0,1887.0,1825.0,2251,1656
30,Burkina Faso,163,166,230,235.0,307.0,322.0,303.0,347.0,426,376
31,Burma,2321,2384,3489,4225.0,6045.0,6956.0,6825.0,7858.0,11674,9181
32,Burundi,168,209,379,415.0,437.0,406.0,266.0,284.0,394,280
33,Cabo Verde,974,1037,1014,979.0,1054.0,1207.0,1355.0,1429.0,1316,930
34,Cambodia,4589,6189,4161,2866.0,2878.0,2756.0,2184.0,2467.0,2877,2405
35,Cameroon,2172,2459,2541,2120.0,3170.0,3088.0,2416.0,2319.0,3197,2873
36,Canada,9318,9077,8690,8385.0,9492.0,9346.0,7829.0,9379.0,11059,8423
37,Cayman Islands,15,29,17,13.0,30.0,20.0,23.0,23.0,35,20
38,Central African Republic,34,56,54,44.0,52.0,80.0,61.0,73.0,120,82
39,Chad,50,69,64,74.0,84.0,105.0,78.0,72.0,90,56
40,Chile,1527,1586,1649,1435.0,1486.0,1666.0,1620.0,1752.0,1784,1329
41,"China, People's Republic",32864,31868,35387,30284.0,31241.0,35794.0,37674.0,39600.0,39490,26110
42,Colombia,22693,23972,22196,16478.0,17207.0,18601.0,16184.0,17564.0,17126,12768
43,"Congo, Democratic Republic",908,1173,1250,1246.0,1490.0,1707.0,1437.0,1776.0,2877,2482
44,"Congo, Republic",345,381,402,438.0,473.0,395.0,322.0,316.0,351,191
45,Costa Rica,1511,1597,1661,1461.0,1633.0,1862.0,1720.0,1860.0,1859,1394
46,Cote d'Ivoire,694,868,958,910.0,1078.0,1127.0,907.0,908.0,1206,1012
47,Croatia,569,725,561,428.0,563.0,438.0,351.0,371.0,412,271
48,Cuba,21071,31244,30482,24092.0,25770.0,32101.0,25961.0,32089.0,36246,31369
49,Curacao,0,0,0,11.0,17.0,13.0,16.0,20.0,30,28
50,Cyprus,115,92,112,112.0,107.0,105.0,84.0,125.0,115,81
51,Czechia,485,477,562,565.0,733.0,692.0,595.0,644.0,600,426
52,Czechoslovakia (former),310,291,232,303.0,371.0,344.0,251.0,260.0,325,206
53,Denmark,124,133,127,129.0,243.0,1193.0,769.0,650.0,656,508
54,Djibouti,22,26,39,26.0,26.0,52.0,48.0,65.0,96,94
55,Dominica,594,597,642,520.0,653.0,610.0,539.0,612.0,740,391
56,Dominican Republic,20508,33351,39590,23775.0,26665.0,31320.0,29734.0,22970.0,23101,18675
57,Ecuador,6929,8783,9470,6952.0,7664.0,8568.0,7748.0,7996.0,7731,5204
58,Egypt,5848,6191,6213,5094.0,5693.0,5696.0,5154.0,6549.0,8311,6336
59,El Salvador,13834,16685,18401,15598.0,16930.0,17213.0,16941.0,17300.0,18260,12606
60,Equatorial Guinea,9,19,14,12.0,14.0,18.0,8.0,9.0,15,18
61,Eritrea,985,1059,1145,1045.0,1494.0,1797.0,1424.0,1457.0,1951,1597
62,Estonia,217,234,213,183.0,208.0,183.0,157.0,190.0,210,157
63,Eswatini,15,10,15,7.0,12.0,8.0,16.0,13.0,25,2
64,Ethiopia,8519,8803,8323,7002.0,8312.0,8725.0,7370.0,6769.0,9065,7385
65,Fiji,1118,1134,1003,770.0,850.0,996.0,841.0,875.0,778,624
66,Finland,344,329,300,274.0,301.0,303.0,279.0,283.0,343,250
67,France,2527,2358,2534,2589.0,2784.0,2841.0,2812.0,2854.0,3315,2553
68,French Polynesia,14,15,8,20.0,14.0,18.0,14.0,13.0,18,15
69,Gabon,53,80,72,63.0,89.0,83.0,67.0,81.0,113,87
70,Gambia,505,556,573,510.0,685.0,724.0,586.0,650.0,729,610
71,Georgia,1253,1271,1205,898.0,1027.0,988.0,889.0,751.0,973,709
72,Germany,4461,4192,4066,4375.0,4380.0,4329.0,3879.0,4284.0,4745,3162
73,Ghana,4690,5344,5105,5108.0,6033.0,6411.0,5777.0,6047.0,6936,4973
74,Greece,844,867,938,780.0,867.0,1013.0,945.0,1074.0,1137,828
75,Grenada,528,683,717,544.0,664.0,658.0,629.0,463.0,640,478
76,Guatemala,7285,8797,9530,8549.0,9344.0,9764.0,9131.0,9566.0,8948,6421
77,Guinea,575,787,958,908.0,999.0,1077.0,957.0,924.0,1069,771
