,NaturalizedCountry2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,694193,2439,1115,12784,1559,151183,7805,8370,1470,1016,87309,17761,675,3450,1473,29133,4085,1840,2687,2778,2496,999,15790,22812,10414,11044,965,4175,297,1876,8519,1607,33826,2434,76603,11360,369,9326,2966,5657,16162,1692,2682,4033,420,5396,52927,1167,686,3595,431,13782,17317,348,4434,228,6426
1,Afghanistan,1998,0,0,85,0,661,32,20,5,0,32,53,0,0,19,33,5,5,5,5,3,4,29,29,23,7,0,33,2,20,12,3,48,11,261,10,0,9,2,20,25,0,2,5,2,17,94,0,0,18,0,247,29,0,2,0,74
2,Albania,4267,3,4,40,2,65,8,233,5,2,510,10,0,2,2,244,6,3,2,4,2,6,34,490,595,8,0,56,0,2,21,16,211,3,1122,23,0,73,10,8,245,2,0,7,0,13,41,0,0,3,0,41,15,2,47,0,32
3,Algeria,773,2,0,6,2,104,12,8,0,2,52,11,0,0,0,43,9,4,2,2,7,0,19,86,21,4,2,2,2,0,6,2,52,0,101,15,2,27,2,2,52,0,8,3,0,3,45,2,0,0,2,19,17,0,6,2,14
4,American Samoa,205,0,14,2,0,45,2,0,0,0,0,2,0,37,0,0,2,0,4,3,0,0,0,0,0,0,0,3,0,0,4,0,2,2,0,2,0,2,4,3,0,0,0,5,0,2,8,11,0,11,0,12,30,0,0,0,1
5,Andorra,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Angola,162,2,2,2,0,6,2,3,0,0,14,5,0,2,2,8,0,0,0,0,0,0,7,42,0,2,0,0,0,4,2,0,10,2,7,5,0,0,2,4,6,2,8,0,0,0,11,0,0,0,0,4,2,0,2,0,1
7,Anguilla,38,0,0,0,0,2,0,2,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0
8,Antigua-Barbuda,386,0,0,0,2,10,0,11,2,2,52,21,0,2,0,3,0,0,2,2,2,0,8,10,0,4,2,2,0,0,0,0,23,2,149,9,0,2,2,0,16,0,0,4,0,2,8,2,38,0,0,3,0,0,0,0,0
9,Argentina,3870,3,3,34,6,518,51,44,4,9,1530,64,0,20,3,81,12,4,13,13,15,0,64,76,36,21,6,15,2,5,44,5,159,7,309,72,2,30,9,15,72,40,10,24,0,25,171,2,2,57,2,68,33,2,24,2,36
