,NaturalizedCountry2012,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,757434,2084,1186,13090,1605,158850,7726,8332,1456,1958,100890,17093,800,3144,1384,28376,4146,2255,2905,2686,2344,941,16160,22753,11069,12016,972,4794,325,2039,7667,1507,42622,2689,93584,11848,377,10194,3133,5872,16470,2212,2854,4124,467,5557,57762,458,662,3848,546,24224,17524,478,4379,220,2777
1,Afghanistan,1758,2,0,46,0,579,27,14,7,2,22,50,0,0,17,25,10,6,4,10,4,2,29,15,22,4,0,34,0,13,18,0,51,15,216,8,2,14,0,10,25,0,2,4,2,20,62,0,0,8,2,288,61,0,2,0,8
2,Albania,3615,2,2,16,0,60,2,178,0,6,322,14,0,2,2,177,2,0,5,5,0,2,28,425,462,3,2,41,0,2,22,9,158,2,1098,16,0,75,9,7,239,0,2,22,0,14,55,0,0,4,3,54,19,0,37,0,14
3,Algeria,891,2,2,5,2,133,13,7,0,3,47,16,0,2,2,41,14,2,4,3,4,2,22,77,16,7,2,4,2,0,2,2,63,2,147,16,0,23,2,2,57,0,2,2,0,2,57,0,0,3,2,57,16,0,10,2,1
4,American Samoa,180,0,7,2,0,38,2,0,0,0,0,2,0,28,0,2,0,0,0,0,0,0,2,0,0,0,2,4,0,0,2,0,0,0,2,2,0,0,2,2,0,0,0,7,0,2,7,6,0,15,0,10,38,0,2,2,0
5,Andorra,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Angola,166,0,0,7,0,9,0,3,0,0,12,7,0,0,2,8,2,0,0,0,2,0,3,40,2,0,0,2,0,2,0,0,11,2,6,7,2,0,0,0,11,0,4,0,0,0,17,0,0,3,0,6,2,0,0,0,0
7,Anguilla,30,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,2,0,0,0,0,0
8,Antigua-Barbuda,390,2,0,0,0,5,2,3,0,0,58,22,0,0,0,3,0,0,2,2,0,0,16,23,3,2,2,2,0,0,0,0,24,0,156,4,0,3,2,2,11,0,2,2,0,2,5,0,30,0,0,4,2,0,2,0,0
9,Argentina,3909,7,4,35,3,554,38,54,6,16,1478,59,0,11,8,65,17,7,12,4,12,3,63,80,28,25,4,12,2,4,45,6,211,10,318,51,0,30,10,16,55,39,6,21,0,9,206,0,0,62,2,131,45,2,14,0,10
10,Armenia,3285,2,2,10,0,2732,16,4,0,7,32,6,0,0,0,9,0,0,2,3,2,0,16,56,9,2,0,2,0,0,41,0,52,2,135,7,0,15,4,2,24,0,7,5,0,9,32,0,0,10,2,17,13,0,2,0,1
11,Aruba,27,0,0,2,0,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0
12,Australia,1312,3,7,28,2,299,48,27,2,6,63,28,2,21,5,38,9,8,6,8,4,2,25,43,19,17,3,6,9,5,14,7,30,2,112,31,2,22,8,22,45,0,3,12,2,12,89,2,0,20,2,48,63,4,17,0,6
13,Austria,241,2,0,3,0,49,4,5,2,2,24,7,0,3,0,5,2,0,0,0,0,0,2,5,5,2,2,2,0,2,3,0,7,2,30,10,0,3,0,5,6,0,2,3,0,2,21,2,0,2,2,7,10,2,3,2,3
14,Azerbaijan,958,0,3,8,2,372,9,4,2,2,15,14,0,0,4,20,4,3,2,6,2,5,12,31,22,6,0,7,2,2,5,2,21,0,197,7,2,12,5,11,27,0,2,2,2,2,39,0,0,6,2,23,32,0,3,2,3
15,Bahamas,647,2,0,3,0,19,2,2,0,2,404,56,0,0,0,10,2,2,2,2,2,0,14,8,4,2,2,2,0,2,2,2,10,0,20,15,0,3,2,2,4,0,0,3,0,8,20,2,0,2,0,7,2,2,0,2,5
16,Bahrain,93,0,0,2,0,8,2,0,0,0,6,4,2,0,0,3,2,2,0,0,0,0,0,2,2,3,2,2,0,0,0,0,8,0,6,3,0,2,2,2,7,0,0,2,0,0,12,0,0,2,0,8,2,0,0,0,1
