,NaturalizedCountry2016,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,753060,2331,972,11374,1809,151830,8679,9317,1386,1736,88764,18866,711,3673,1533,26003,5113,2805,3050,3054,2846,983,19775,24577,13576,8573,990,4657,314,2405,8923,1501,40344,2524,93376,12492,1046,10029,3953,7173,17239,2514,2736,4159,647,5371,63945,305,719,3775,589,20437,21655,495,3825,233,1353
1,Afghanistan,1444,2,0,29,2,563,24,13,4,2,31,32,0,0,18,17,13,0,0,3,5,4,28,12,16,4,0,14,0,7,20,0,38,6,142,8,0,11,2,6,17,0,2,3,0,8,62,0,0,16,0,217,38,0,3,0,4
2,Albania,2813,0,2,18,0,39,3,177,2,4,219,16,0,0,3,159,3,5,0,4,0,2,28,363,416,2,2,23,0,2,14,9,171,0,724,10,0,64,0,7,150,2,3,17,0,7,52,0,0,2,2,35,18,0,30,2,7
3,Algeria,1035,2,0,6,0,163,13,13,2,3,37,23,0,2,0,62,9,5,25,7,11,2,21,75,23,2,2,4,0,0,2,0,65,2,143,24,0,30,0,2,122,2,2,2,0,2,63,0,0,2,2,42,18,2,5,0,0
4,American Samoa,285,0,17,2,0,32,2,2,0,0,2,17,0,39,0,3,0,0,2,2,2,0,2,0,0,0,0,4,0,0,2,0,0,2,2,2,0,0,10,5,2,0,0,19,0,0,8,4,0,16,0,8,52,0,0,0,35
5,Angola,131,2,0,2,0,8,0,4,0,2,17,5,0,0,0,0,0,0,0,0,3,0,5,28,0,0,0,0,0,0,0,0,10,0,9,6,0,3,2,2,8,0,3,0,0,2,12,0,0,0,0,2,2,0,2,0,0
6,Anguilla,16,2,0,0,0,0,0,0,0,2,4,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
7,Antigua and Barbuda,383,4,2,0,0,7,0,13,0,2,53,16,0,2,0,0,2,0,2,2,2,0,11,14,2,2,0,0,0,0,0,0,25,0,135,7,0,2,2,0,5,0,2,3,0,2,8,2,53,2,0,7,0,0,2,0,0
8,Argentina,4015,8,3,22,7,590,38,63,3,15,1502,69,2,8,2,51,15,8,6,4,16,0,77,75,32,14,4,12,4,4,47,3,217,6,340,55,2,34,13,22,62,23,6,28,0,19,238,0,0,74,2,101,46,3,18,0,4
9,Armenia,2516,0,0,6,2,1984,13,7,0,3,33,8,0,0,0,16,3,0,0,2,2,0,15,56,7,4,2,2,0,0,38,2,34,3,134,3,2,9,0,9,16,0,2,6,2,4,19,0,0,17,2,18,32,2,0,2,1
