,NonCitzApprehendedCtry,2011,2012,2013,2014,2015,2016 1,2017,2018,2019,2020
0,Total,678606,671327.0,662483.0,679996.0,462388,530250.0,461540,572566,1013539,518597
1,Afghanistan,111,98.0,70.0,66.0,71,84.0,85,69,48,26
2,Albania,258,277.0,423.0,408.0,91,152.0,109,90,89,77
3,Algeria,36,42.0,27.0,42.0,26,38.0,53,44,36,24
4,Angola,28,22.0,16.0,13.0,11,6.0,19,29,246,325
5,Antigua and Barbuda,47,56.0,40.0,31.0,21,16.0,29,20,13,10
6,Argentina,421,324.0,235.0,212.0,123,82.0,154,143,145,93
7,Armenia,232,217.0,141.0,161.0,88,87.0,94,93,69,53
8,Australia,75,55.0,69.0,50.0,30,21.0,23,37,32,22
9,Austria,23,12.0,14.0,5.0,9,4.0,8,2,5,5
10,Azerbaijan,37,29.0,36.0,38.0,23,22.0,33,52,20,20
11,Bahamas,311,275.0,288.0,196.0,185,151.0,142,157,177,141
12,Bangladesh,272,262.0,366.0,476.0,467,796.0,771,1395,1368,717
13,Barbados,77,80.0,45.0,47.0,28,20.0,20,30,34,4
14,Belarus,58,51.0,42.0,20.0,15,18.0,21,32,25,12
15,Belgium,35,17.0,25.0,13.0,11,15.0,10,13,7,8
16,Belize,361,316.0,293.0,258.0,140,150.0,159,180,289,107
17,Benin,18,11.0,9.0,10.0,19,8.0,18,19,24,21
18,Bhutan,6,5.0,5.0,7.0,22,14.0,25,22,32,13
19,Bolivia,387,290.0,226.0,194.0,116,107.0,118,150,134,80
20,Bosnia and Herzegovina,201,198.0,179.0,131.0,115,103.0,115,83,83,67
21,Brazil,3228,2433.0,1702.0,1643.0,1911,3738.0,3699,2810,19168,7917
22,Bulgaria,95,110.0,52.0,49.0,36,28.0,28,41,25,23
23,Burkina Faso,20,29.0,19.0,17.0,6,15.0,23,36,35,31
24,Burma,35,54.0,48.0,48.0,47,56.0,61,74,68,61
25,Burundi,17,27.0,21.0,22.0,9,20.0,12,19,20,18
26,Cabo Verde,105,110.0,66.0,35.0,32,34.0,68,73,51,46
27,Cambodia,347,268.0,204.0,147.0,130,203.0,125,339,184,107
28,Cameroon,164,130.0,102.0,70.0,47,54.0,66,93,307,167
29,Canada,1131,1172.0,822.0,775.0,648,509.0,495,485,565,491
30,Central African Republic,10,9.0,14.0,8.0,2,6.0,6,7,11,6
31,Chad,8,7.0,12.0,13.0,8,5.0,11,15,5,3
32,Chile,248,193.0,128.0,116.0,82,87.0,128,189,392,826
33,"China, People's Republic",2604,2435.0,1992.0,2631.0,1894,3219.0,2378,2339,3006,1964
34,Colombia,2755,2201.0,1987.0,1522.0,1351,1209.0,1335,1406,1604,1199
35,"Congo, Democratic Republic",26,28.0,28.0,31.0,17,39.0,39,49,685,360
36,"Congo, Republic",63,75.0,39.0,26.0,13,29.0,25,41,229,87
37,Costa Rica,503,518.0,409.0,378.0,213,214.0,230,250,242,152
38,Cote d'Ivoire,102,112.0,80.0,45.0,34,17.0,38,103,80,46
39,Croatia,31,31.0,29.0,13.0,16,5.0,11,18,15,5
40,Cuba,4801,4121.0,2809.0,2872.0,2281,3061.0,2432,2321,14136,11227
41,Czechia,71,68.0,56.0,35.0,23,26.0,36,71,55,27
42,Czechoslovakia (former),21,20.0,15.0,12.0,7,6.0,6,6,2,2
43,Dominica,65,41.0,41.0,24.0,15,18.0,20,26,25,16
44,Dominican Republic,4433,4506.0,3893.0,3455.0,2797,2770.0,2582,2628,2924,2220
45,Ecuador,3298,4374.0,5680.0,6276.0,3438,3472.0,2568,2708,14503,13028
46,Egypt,237,190.0,192.0,181.0,147,117.0,156,158,94,99
47,El Salvador,27652,38976.0,51226.0,79321.0,51200,78983.0,59687,42132,99750,23051
48,Eritrea,63,37.0,40.0,52.0,45,33.0,47,91,93,91
49,Estonia,35,30.0,18.0,16.0,12,12.0,18,11,10,8
50,Ethiopia,219,220.0,144.0,152.0,93,70.0,79,83,61,61
51,Fiji,87,79.0,67.0,35.0,22,22.0,16,29,19,6
52,France,145,131.0,107.0,107.0,42,52.0,76,72,87,79
53,Gabon,13,13.0,10.0,15.0,2,3.0,11,13,12,6
54,Gambia,148,119.0,100.0,69.0,33,41.0,87,130,120,59
55,Georgia,101,58.0,65.0,52.0,29,50.0,54,56,70,37
56,Germany,198,186.0,153.0,103.0,79,87.0,91,83,84,38
57,Ghana,435,340.0,272.0,212.0,138,174.0,178,275,293,357
58,Greece,48,34.0,29.0,35.0,13,28.0,22,29,35,11
59,Grenada,61,35.0,44.0,33.0,24,13.0,17,17,16,14
60,Guatemala,41708,57486.0,73208.0,97151.0,66982,84649.0,81909,135354,285067,61382
61,Guinea,147,142.0,112.0,69.0,34,49.0,83,147,106,80
62,Guyana,411,360.0,292.0,248.0,196,142.0,159,194,126,100
63,Haiti,1351,1492.0,1992.0,1810.0,1124,1113.0,1211,818,2830,5820
64,Honduras,31189,50771.0,64157.0,106928.0,42433,61222.0,60169,91141,268992,51011
65,Hungary,106,111.0,88.0,76.0,54,42.0,122,103,63,42
66,India,3859,1566.0,1791.0,2106.0,2967,4123.0,3682,9953,8926,1717
67,Indonesia,327,219.0,126.0,102.0,52,39.0,117,124,100,110
68,Iran,305,301.0,257.0,223.0,154,111.0,147,153,109,91
69,Iraq,285,244.0,169.0,173.0,152,156.0,421,173,171,117
70,Ireland,88,89.0,70.0,47.0,29,37.0,42,80,35,23
71,Israel,254,192.0,213.0,303.0,235,92.0,156,196,172,112
72,Italy,149,153.0,138.0,116.0,86,81.0,103,109,120,86
73,Jamaica,2862,2655.0,2147.0,1677.0,1176,1012.0,1072,1216,1054,820
74,Japan,63,59.0,47.0,43.0,18,11.0,29,24,13,8
75,Jordan,305,281.0,198.0,282.0,293,167.0,256,291,312,253
76,Kazakhstan,117,108.0,71.0,75.0,45,25.0,37,75,75,56
77,Kenya,539,494.0,341.0,423.0,415,189.0,166,229,225,147
78,"Korea, South",714,627.0,470.0,349.0,255,188.0,182,225,205,143
79,Kosovo,36,26.0,30.0,17.0,20,38.0,58,59,51,45
80,Kuwait,23,22.0,26.0,22.0,34,18.0,37,31,28,16
81,Kyrgyzstan,44,40.0,89.0,52.0,40,18.0,18,29,15,12
82,Laos,758,754.0,561.0,335.0,184,194.0,203,180,166,141
83,Latvia,38,35.0,36.0,41.0,39,10.0,21,18,17,17
84,Lebanon,171,128.0,103.0,117.0,94,58.0,57,94,46,57
85,Liberia,309,314.0,231.0,176.0,143,152.0,239,204,182,132
86,Libya,24,23.0,16.0,36.0,22,16.0,18,24,9,10
87,Lithuania,77,84.0,65.0,48.0,27,24.0,37,51,43,24
88,Malawi,21,14.0,10.0,13.0,7,6.0,10,8,0,4
89,Malaysia,53,49.0,31.0,30.0,14,9.0,17,23,24,12
90,Mali,112,100.0,83.0,89.0,40,32.0,47,73,50,26
91,Marshall Islands,21,28.0,35.0,66.0,34,26.0,31,51,40,41
92,Mauritania,70,55.0,57.0,25.0,14,12.0,21,85,64,68
93,Mexico,517472,468766.0,424978.0,350177.0,267885,265747.0,220138,252267,254595,318516
94,"Micronesia, Federated States",106,106.0,113.0,95.0,80,88.0,125,115,90,66
95,Moldova,144,93.0,93.0,57.0,63,37.0,59,49,37,27
96,Mongolia,129,95.0,66.0,52.0,27,27.0,43,35,22,18
97,Montenegro,11,18.0,6.0,11.0,9,7.0,13,17,14,11
98,Morocco,173,149.0,135.0,135.0,96,61.0,97,98,60,57
99,Nepal,180,248.0,448.0,555.0,443,580.0,680,775,372,174
100,Netherlands,85,68.0,65.0,51.0,47,22.0,35,42,37,18
101,New Zealand,63,35.0,30.0,34.0,23,12.0,19,19,19,19
102,Nicaragua,2278,2532.0,2712.0,2912.0,1577,1756.0,1721,4014,14248,2739
103,Niger,48,50.0,39.0,34.0,24,11.0,13,22,26,21
104,Nigeria,633,543.0,492.0,396.0,274,253.0,439,878,987,551
105,North Macedonia,51,43.0,30.0,22.0,19,22.0,24,29,26,6
106,Pakistan,538,470.0,334.0,350.0,287,522.0,476,438,392,267
107,Palau,20,26.0,21.0,23.0,10,20.0,16,6,16,9
108,Panama,226,197.0,184.0,100.0,92,95.0,78,88,88,66
109,Paraguay,35,33.0,30.0,16.0,8,14.0,11,21,9,18
110,Peru,1741,1588.0,1682.0,1568.0,827,799.0,837,1034,1198,774
111,Philippines,1135,927.0,721.0,592.0,334,263.0,280,289,231,204
112,Poland,519,494.0,328.0,266.0,205,136.0,147,204,161,126
113,Portugal,194,215.0,131.0,91.0,57,58.0,83,92,86,48
114,Romania,869,1220.0,865.0,1038.0,537,2167.0,810,876,940,652
115,Russia,526,414.0,320.0,262.0,159,128.0,172,229,172,151
116,Rwanda,19,13.0,21.0,12.0,14,14.0,15,19,30,20
117,Saint Kitts and Nevis,46,49.0,32.0,20.0,21,7.0,19,17,10,2
118,Saint Lucia,58,57.0,45.0,44.0,30,21.0,36,35,27,24
119,Saint Vincent and the Grenadines,50,41.0,43.0,31.0,15,17.0,15,25,14,8
120,Samoa,36,32.0,37.0,20.0,11,25.0,24,39,22,10
121,Saudi Arabia,127,198.0,264.0,226.0,276,189.0,299,197,137,94
122,Senegal,158,164.0,132.0,98.0,41,62.0,61,96,76,45
123,Serbia,22,13.0,35.0,40.0,20,19.0,28,27,31,16
124,Serbia and Montenegro (former),142,86.0,64.0,58.0,29,21.0,85,16,12,10
125,Sierra Leone,171,162.0,145.0,96.0,65,44.0,74,109,111,74
126,Singapore,12,7.0,16.0,9.0,2,7.0,2,5,2,4
127,Slovakia,29,44.0,23.0,28.0,15,8.0,21,36,26,16
128,Somalia,336,316.0,214.0,169.0,131,164.0,350,282,143,113
129,South Africa,123,95.0,79.0,63.0,43,34.0,46,60,54,43
130,South Sudan,2,3.0,42.0,21.0,14,19.0,33,81,41,33
131,Soviet Union (former),92,115.0,89.0,64.0,19,23.0,35,24,18,9
132,Spain,126,139.0,98.0,129.0,84,62.0,122,195,202,132
133,Sri Lanka,316,223.0,134.0,95.0,128,57.0,87,223,492,254
134,Sudan,226,253.0,168.0,132.0,81,86.0,93,140,92,85
135,Suriname,19,20.0,15.0,8.0,8,6.0,10,22,5,5
136,Sweden,42,33.0,27.0,24.0,14,17.0,9,19,8,8
137,Switzerland,19,14.0,11.0,12.0,3,6.0,3,8,7,2
138,Syria,114,57.0,72.0,61.0,57,44.0,62,47,25,25
139,Taiwan,75,46.0,55.0,35.0,38,34.0,32,38,41,19
140,Tajikistan,82,51.0,33.0,35.0,36,16.0,16,22,16,5
141,Tanzania,64,73.0,72.0,129.0,42,26.0,34,38,32,26
142,Thailand,257,276.0,246.0,197.0,84,64.0,93,153,82,54
143,Togo,43,46.0,20.0,23.0,10,8.0,21,23,34,32
144,Tonga,82,86.0,49.0,44.0,26,27.0,30,26,26,14
145,Trinidad and Tobago,596,498.0,419.0,303.0,195,190.0,214,190,158,100
146,Tunisia,43,33.0,24.0,46.0,31,19.0,31,32,33,25
147,Turkey,224,265.0,216.0,243.0,194,183.0,211,295,199,186
148,Turkmenistan,8,10.0,4.0,9.0,11,5.0,2,2,4,2
149,Uganda,66,44.0,49.0,28.0,14,14.0,18,29,40,33
150,Ukraine,393,394.0,290.0,183.0,154,111.0,151,201,183,86
151,United Arab Emirates,2,10.0,11.0,9.0,8,3.0,9,9,5,3
