ImmigrantsApprehendedYear,Number
1925,22199.0
1926,12735.0
1927,16393.0
1928,23566.0
1929,32711.0
1930,20880.0
1931,22276.0
1932,22735.0
1933,20949.0
1934,10319.0
1935,11016.0
1936,11728.0
1937,13054.0
1938,12851.0
1939,12037.0
1940,10492.0
1941,11294.0
1942,11784.0
1943,11175.0
1944,31174.0
1945,69164.0
1946,99591.0
1947,193657.0
1948,192779.0
1949,288253.0
1950,468339.0
1951,509040.0
1952,543535.0
1953,885587.0
1954,1089583.0
1955,254096.0
1956,87696.0
1957,59918.0
1958,53474.0
1959,45336.0
1960,70684.0
1961,88823.0
1962,92758.0
1963,88712.0
1964,86597.0
1965,110371.0
1966,138520.0
1967,161608.0
1968,212057.0
1969,283557.0
1970,345353.0
1971,420126.0
1972,505949.0
1973,655968.0
1974,788145.0
1975,766600.0
1976,1097739.0
1977,1042215.0
1978,1057977.0
1979,1076418.0
1980,910361.0
1981,975780.0
1982,970246.0
1983,1251357.0
1984,1246981.0
1985,1348749.0
1986,1767400.0
1987,1190488.0
1988,1008145.0
1989,954243.0
1990,1169939.0
1991,1197875.0
1992,1258481.0
1993,1327261.0
1994,1094719.0
1995,1394554.0
1996,1649986.0
1997,1536520.0
1998,1679439.0
1999,1714035.0
2000,1814729.0
2001,1387486.0
2002,1062270.0
2003,1046422.0
2004,1264232.0
2005,1291065.0
2006,1206408.0
2007,960673.0
2008,1043759.0
2009,889212.0
2010,796587.0
2011,678606.0
2012,671327.0
2013,662483.0
2014,679996.0
2015,462388.0
2016,530250.0
2017,461540.0
2018,572566.0
2019,1013539.0
2020,518597.0
