,NonCitzInadmissableFieldOffice,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,213345.0,195804.0,205623.0,225016.0,254714.0,274617.0,216257.0,281928.0,287977,241763
1,"Atlanta, GA",8808.0,8054.0,8406.0,10491.0,8168.0,6714.0,6158.0,8210.0,8343,12510
2,"Baltimore, MD",3160.0,3757.0,3175.0,2947.0,2374.0,1096.0,1312.0,3352.0,5275,4313
3,"Boston, MA",5223.0,4862.0,4996.0,4547.0,5093.0,3593.0,4789.0,10839.0,9962,9277
4,"Buffalo, NY",15725.0,14066.0,13445.0,13125.0,11916.0,11993.0,11276.0,11903.0,11294,13407
5,"Chicago, IL",2560.0,2464.0,2186.0,2312.0,4292.0,3044.0,5442.0,4866.0,4216,3440
6,"Detroit, MI",7255.0,6755.0,6582.0,6108.0,6001.0,5098.0,5520.0,5380.0,6332,4163
7,"El Paso, TX",6942.0,6981.0,7870.0,10185.0,12063.0,23552.0,17738.0,23612.0,26485,9689
8,"Houston, TX",19573.0,12786.0,10958.0,10492.0,11224.0,9820.0,8931.0,22628.0,25232,47322
9,"Laredo, TX",25847.0,28212.0,32149.0,39699.0,52795.0,68014.0,49596.0,49160.0,49804,22455
10,"Los Angeles, CA",6766.0,4031.0,4095.0,4193.0,5752.0,5472.0,6358.0,8533.0,10768,7833
11,"Miami, FL",7038.0,7776.0,8836.0,12307.0,17705.0,18755.0,10760.0,11958.0,11058,11440
12,"New Orleans, LA",20857.0,20241.0,21039.0,21223.0,20563.0,14600.0,3521.0,17669.0,17282,16698
13,"New York, NY",7145.0,5141.0,4889.0,4841.0,4492.0,4474.0,4334.0,9065.0,9108,7070
14,"Portland, OR",1967.0,1777.0,1707.0,1261.0,1702.0,1548.0,1020.0,4754.0,3749,3089
15,Pre-clearance2,8604.0,8582.0,9707.0,10710.0,10763.0,8065.0,8372.0,10258.0,9236,8815
16,"San Diego, CA",33746.0,26914.0,25636.0,32563.0,40446.0,48161.0,31720.0,35931.0,35127,21053
17,"San Francisco, CA",7065.0,9957.0,14982.0,14092.0,15856.0,15538.0,13821.0,9092.0,9204,14393
18,"San Juan, PR",2936.0,2006.0,2090.0,1390.0,1758.0,2663.0,2864.0,4738.0,5706,5090
19,"Seattle, WA",10681.0,10653.0,9332.0,9153.0,8046.0,7101.0,6937.0,9985.0,9337,9512
20,"Tampa, FL",3158.0,2976.0,3215.0,3938.0,3887.0,3173.0,2038.0,2615.0,3654,2682
21,"Tucson, AZ",7986.0,7674.0,10041.0,9014.0,9423.0,11835.0,13675.0,17344.0,16805,7512
22,Unknown office,303.0,139.0,287.0,425.0,395.0,308.0,75.0,36.0,0,0
