,RefugeeCountry,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,56384,58179,69909,69975,69920,84989,53691,22405,29916,11840
1,Afghanistan,411,450,622,758,914,2743,1315,802,1197,603
2,Angola,6,2,11,0,8,5,0,2,3,0
3,Armenia,16,8,5,9,47,56,58,58,33,63
4,Azerbaijan,17,10,8,15,15,32,21,2,0,2
5,Belarus,67,84,17,43,97,187,79,180,100,0
6,Bhutan,14959,15022,9045,8316,5563,5455,3340,2016,28,7
7,Burma,16970,14159,16295,14578,18323,12294,5047,3525,4928,2112
8,Burundi,120,188,203,84,1218,729,304,219,259,53
9,Cambodia,5,6,30,45,2,21,5,0,2,0
10,Cameroon,0,12,0,5,17,14,24,14,28,6
11,Central African Republic,183,132,315,25,262,395,271,143,244,85
12,Chad,25,13,37,23,19,6,9,3,8,0
13,"China, People's Republic",28,51,102,57,30,57,27,6,2,0
14,Colombia,46,125,214,243,504,523,231,127,298,219
15,"Congo, Democratic Republic",962,1849,2545,4502,7823,16279,9325,7841,12875,2863
16,"Congo, Republic",26,97,152,29,49,23,6,7,3,2
17,Cote d'Ivoire,7,33,21,42,28,81,50,15,67,26
18,Cuba,2920,1948,4205,4063,1526,354,178,0,2,7
19,Ecuador,0,2,16,9,18,6,2,2,0,0
20,Egypt,11,17,20,27,14,19,10,2,6,2
21,El Salvador,0,0,0,0,0,364,1124,724,311,362
22,Eritrea,1988,1329,1763,1445,1576,1924,1912,1260,1750,475
23,Ethiopia,608,639,859,754,646,1147,791,387,258,119
24,Gambia,7,2,11,2,2,0,5,0,2,0
25,Georgia,20,7,2,13,9,17,0,3,26,0
26,Guatemala,5,0,0,0,0,8,50,42,117,249
27,Guinea,5,0,8,9,4,5,6,10,10,2
28,Honduras,5,0,0,0,0,84,104,59,74,90
29,India,15,17,15,26,23,92,53,32,2,3
30,Indonesia,2,2,4,17,53,38,25,16,2,2
31,Iran,2025,1760,2579,2833,3099,3736,2575,41,198,135
32,Iraq,9345,12057,19331,19651,12608,9837,6857,140,462,541
33,Jordan,17,38,74,41,21,13,9,2,5,2
34,Kazakhstan,52,7,11,22,58,87,43,45,9,28
35,Kenya,2,23,5,24,7,11,8,4,17,2
36,"Korea, North",23,21,17,8,15,14,10,5,2,2
37,Kuwait,3,2,13,10,8,4,6,2,2,0
38,Kyrgyzstan,30,57,19,13,18,39,25,12,45,0
39,Laos,211,21,0,2,0,7,0,0,0,0
40,Latvia,4,0,0,0,0,0,13,0,0,0
41,Lebanon,10,11,24,13,6,7,0,0,2,5
42,Liberia,120,72,96,32,13,17,8,6,31,31
43,Moldova,326,257,115,141,323,464,293,197,116,352
44,Nepal,42,83,115,148,217,310,199,193,16,4
45,Pakistan,54,274,155,239,159,546,347,444,266,169
46,Russia,186,224,162,147,301,487,377,442,198,190
47,Rwanda,77,161,143,60,186,169,122,121,104,14
48,Senegal,2,5,2,0,4,16,22,14,14,14
49,Sierra Leone,29,2,4,9,6,3,5,2,2,2
50,Somalia,3145,4915,7579,9011,8852,9032,6122,257,230,149
51,South Sudan,0,2,19,52,82,198,183,13,45,35
52,Sri Lanka,69,58,92,58,90,89,14,57,17,42
53,Sudan,335,1059,2137,1307,1576,1444,962,74,376,258
54,Syria,41,31,48,132,1693,12583,6566,62,560,486
55,Tajikistan,3,4,5,0,0,23,0,2,0,0
56,Thailand,5,8,5,6,20,33,11,10,3,7
57,Togo,5,25,16,26,2,19,2,0,2,0
58,Turkmenistan,2,0,7,2,2,0,0,5,18,0
59,Uganda,10,18,15,8,68,65,58,42,25,26
60,Ukraine,435,377,235,493,1454,2526,4254,2637,4432,1935
61,Uzbekistan,98,139,49,68,42,37,35,27,11,8
62,Venezuela,0,4,3,0,0,0,0,0,0,17
63,Vietnam,79,41,69,68,22,55,20,10,10,12
64,Yemen,4,0,12,4,23,23,23,2,3,2
65,Zimbabwe,8,3,17,4,8,14,2,11,2,3
66,All other countries1,19,44,18,46,45,61,65,35,32,19
67,Unknown2,136,178,194,159,104,62,85,0,32,3
