,NonCitzRemovedCountry,2011_total,2011_criminal,2011_nonCrim,2012_total,2012_criminal,2012_nonCrim,2013_total,2013_criminal,2013_nonCrim,2014_total,2014_criminal,2014_nonCrim,2015_total,2015_criminal,2015_nonCrim,2016_total,2016_criminal,2016_nonCrim,2017_total,2017_criminal,2017_nonCrim,2018_total,2018_criminal,2018_nonCrim,2019_total,2019_criminal,2019_nonCrim,2029_total,2020_criminal,2020_nonCrim
0,Total,390413,189702,200711,415587,200039,215548,432212,198488,233724,405042,172403,232639,325191,123277,201914,331570,116354,215216,286758,109595,177163,327568,148123,179445,348468,170112,178356,239151,118357,120794
1,Afghanistan,17,8,9,21,3,18,11,5,6,21,10,11,9,2,2,5,2,2,46,20,26,28,14,14,29,19,10,26,12,14
2,Albania,182,37,145,134,38,96,64,31,33,49,23,26,43,21,22,35,10,25,56,25,31,97,38,59,84,34,50,55,20,35
3,Algeria,16,4,12,18,9,9,6,2,2,7,3,4,15,2,2,17,3,14,41,23,18,26,21,5,26,14,12,5,2,2
4,Angola,15,4,11,7,2,2,19,2,2,15,3,12,10,3,7,10,2,2,10,0,10,38,14,24,43,13,30,41,2,2
5,Antigua and Barbuda,18,12,6,37,23,14,25,17,8,13,13,0,16,11,5,14,2,2,17,2,2,24,2,2,11,11,0,9,2,2
6,Argentina,295,115,180,224,107,117,158,88,70,121,64,57,131,58,73,156,52,104,182,49,133,232,200,32,324,287,37,297,265,32
7,Armenia,71,34,37,59,35,24,36,29,7,30,2,2,18,15,3,21,13,8,29,12,17,31,26,5,60,42,18,43,29,14
8,Australia,60,21,39,40,15,25,44,23,21,44,19,25,33,16,17,41,13,28,29,6,23,50,34,16,41,28,13,45,27,18
9,Austria,25,5,20,9,4,5,14,5,9,4,0,4,7,3,4,8,3,5,7,3,4,7,4,3,6,2,2,6,2,2
10,Azerbaijan,11,2,2,3,0,3,7,2,2,7,2,2,4,4,0,2,2,2,6,2,2,18,14,4,8,2,2,6,2,2
11,Bahamas,137,113,24,109,90,19,98,80,18,103,87,16,74,67,7,97,85,12,87,73,14,89,75,14,102,87,15,73,58,15
12,Bangladesh,97,27,70,67,20,47,64,13,51,84,28,56,69,13,56,139,14,125,213,25,188,146,57,89,157,48,109,305,45,260
13,Barbados,43,32,11,50,42,8,27,24,3,16,12,4,12,12,0,14,2,2,23,19,4,18,15,3,34,34,0,9,9,0
14,Belarus,25,11,14,30,13,17,15,10,5,19,12,7,10,3,7,11,4,7,20,6,14,15,11,4,30,19,11,12,7,5
15,Belgium,22,7,15,15,9,6,13,6,7,10,4,6,7,4,3,7,2,2,10,3,7,21,12,9,8,5,3,14,10,4
16,Belize,221,158,63,204,146,58,175,121,54,136,79,57,134,83,51,146,86,60,123,57,66,133,111,22,109,80,29,100,67,33
17,Benin,6,2,2,6,2,2,6,2,2,8,2,2,8,3,5,2,0,2,9,5,4,14,6,8,12,7,5,8,2,2
18,Bolivia,208,93,115,153,94,59,122,65,57,87,47,40,71,39,32,91,28,63,127,44,83,119,89,30,109,89,20,76,61,15
19,Bosnia and Herzegovina,66,55,11,52,47,5,75,69,6,51,46,5,56,43,13,52,42,10,43,39,4,44,37,7,35,28,7,27,21,6
20,Brazil,3483,552,2931,2738,426,2312,1573,375,1198,980,281,699,1016,288,728,1501,330,1171,1724,407,1317,2130,1185,945,2399,1479,920,2275,1324,951
21,Bulgaria,79,17,62,53,23,30,42,24,18,35,16,19,36,17,19,26,8,18,25,14,11,37,20,17,27,18,9,26,18,8
22,Burkina Faso,5,2,2,8,3,5,9,2,2,12,2,2,25,2,2,18,0,18,39,3,36,39,14,25,23,12,11,5,2,2
23,Burma,11,2,2,3,0,3,10,3,7,4,2,2,5,2,2,3,2,2,12,5,7,42,42,0,29,2,2,38,34,4
24,Burundi,5,0,5,4,2,2,2,0,2,4,2,2,2,0,2,3,0,3,7,3,4,14,8,6,5,2,2,11,2,2
25,Cabo Verde,29,11,18,12,4,8,3,2,2,13,7,6,8,4,4,16,11,5,35,25,10,68,60,8,54,49,5,14,14,0
26,Cambodia,90,74,16,91,80,11,16,11,5,71,65,6,16,2,2,74,2,2,31,2,2,111,105,6,81,71,10,28,2,2
27,Cameroon,75,13,62,50,27,23,32,16,16,34,16,18,32,12,20,35,13,22,68,10,58,74,23,51,76,20,56,59,15,44
28,Canada,1342,428,914,959,385,574,818,383,435,720,305,415,639,264,375,704,257,447,685,207,478,636,557,79,853,746,107,661,572,89
29,Chad,5,2,2,2,2,2,2,0,2,2,2,2,4,0,4,7,2,2,10,3,7,13,6,7,4,2,2,4,2,2
30,Chile,164,90,74,106,61,45,104,59,45,83,46,37,90,43,47,114,50,64,151,68,83,168,94,74,214,145,69,271,109,162
31,"China, People's Republic",1296,236,1060,907,213,694,977,188,789,741,148,593,721,130,591,806,108,698,1864,123,1741,1037,591,446,1361,955,406,634,408,226
32,Colombia,2138,1063,1075,1607,1057,550,1468,929,539,1375,876,499,1596,795,801,2086,763,1323,2059,640,1419,2638,2283,355,2947,2611,336,1872,1549,323
33,"Congo, Democratic Republic",15,2,2,15,4,11,2,0,2,0,0,0,10,2,2,21,5,16,40,12,28,80,20,60,87,41,46,95,13,82
34,"Congo, Republic",28,6,22,11,4,7,6,2,2,11,6,5,6,2,2,2,0,2,7,2,2,19,8,11,15,3,12,13,6,7
35,Costa Rica,415,161,254,398,131,267,332,128,204,286,125,161,224,87,137,253,70,183,256,73,183,319,253,66,356,313,43,248,188,60
36,Cote d'Ivoire,28,10,18,20,9,11,25,9,16,10,2,2,10,3,7,23,11,12,15,7,8,83,56,27,35,27,8,41,26,15
37,Croatia,22,8,14,19,11,8,9,6,3,6,2,2,9,2,2,8,5,3,9,2,2,17,2,2,15,2,2,10,2,2
38,Cuba,88,59,29,64,56,8,41,30,11,28,16,12,45,18,27,51,32,19,196,75,121,493,208,285,1163,161,1002,1529,238,1291
39,Czechia,49,17,32,48,21,27,7,0,7,36,5,31,28,16,12,21,8,13,26,9,17,49,20,29,54,11,43,23,11,12
40,Czechoslovakia (former),22,3,19,16,6,10,40,18,22,10,7,3,2,2,0,3,3,0,6,2,2,4,2,2,2,2,2,2,2,0
41,Denmark,10,5,5,14,3,11,4,2,2,6,2,2,6,0,6,5,2,2,7,0,7,4,2,2,4,2,2,8,5,3
42,Dominica,31,20,11,25,18,7,18,9,9,15,11,4,11,7,4,8,2,2,13,9,4,21,18,3,19,2,2,10,2,2
43,Dominican Republic,2919,2151,768,2896,2187,709,2322,1821,501,2072,1642,430,1883,1521,362,1979,1485,494,2031,1515,516,1863,1494,369,2207,1627,580,1910,1481,429
44,Ecuador,1783,709,1074,1766,708,1058,1509,579,930,1569,571,998,1430,488,942,1427,465,962,1397,507,890,1428,888,540,2494,1478,1016,3084,1499,1585
45,Egypt,118,29,89,103,29,74,72,22,50,69,21,48,63,21,42,53,15,38,65,21,44,94,56,38,81,60,21,101,53,48
46,El Salvador,17945,8545,9400,18910,8670,10240,21130,9472,11658,26671,8952,17719,21899,7221,14678,20264,6719,13545,18448,6489,11959,14876,7002,7874,18185,8803,9382,11938,5001,6937
47,Equatorial Guinea,2,2,0,2,2,2,2,0,2,4,2,2,0,0,0,6,3,3,3,0,3,11,2,2,5,2,2,11,7,4
48,Eritrea,8,3,5,11,0,11,3,0,3,2,0,2,6,0,6,12,0,12,42,2,2,62,2,2,49,5,44,36,6,30
49,Estonia,25,12,13,17,8,9,18,9,9,11,6,5,7,4,3,8,2,2,11,3,8,12,5,7,10,5,5,3,2,2
50,Ethiopia,73,27,46,50,29,21,48,25,23,33,20,13,35,13,22,43,16,27,47,10,37,39,17,22,42,27,15,47,29,18
51,Fiji,68,36,32,32,15,17,23,16,7,19,13,6,15,8,7,38,10,28,37,8,29,43,37,6,33,2,2,31,2,2
52,France,141,47,94,112,42,70,76,32,44,68,25,43,41,20,21,49,20,29,72,22,50,88,54,34,81,43,38,81,35,46
53,Gabon,15,3,12,7,0,7,2,2,0,6,2,2,3,2,2,3,0,3,4,2,2,10,2,2,8,5,3,8,5,3
54,Gambia,29,5,24,20,4,16,17,5,12,7,3,4,7,2,2,2,2,2,57,24,33,109,65,44,125,69,56,44,27,17
55,Georgia,59,27,32,24,15,9,37,15,22,19,9,10,16,6,10,24,9,15,25,8,17,25,19,6,45,25,20,50,20,30
56,Germany,165,67,98,115,58,57,88,52,36,77,49,28,50,35,15,68,49,19,68,43,25,84,52,32,72,45,27,55,32,23
57,Ghana,201,77,124,184,80,104,111,54,57,113,48,65,75,33,42,105,32,73,317,63,254,281,122,159,287,187,100,158,105,53
58,Greece,52,26,26,24,14,10,28,13,15,30,13,17,14,4,10,15,6,9,20,6,14,20,10,10,33,14,19,14,7,7
59,Grenada,45,26,19,28,15,13,11,5,6,14,10,4,13,8,5,15,8,7,17,2,2,10,2,2,15,15,0,7,7,0
60,Guatemala,30871,11750,19121,38885,13497,25388,47013,15426,31587,54405,13722,40683,33379,10509,22870,33886,10601,23285,33048,11110,21938,49135,19814,29321,53174,23017,30157,28192,10211,17981
61,Guinea,34,11,23,25,4,21,20,2,2,15,6,9,10,3,7,18,10,8,90,29,61,221,86,135,101,56,45,41,23,18
62,Guyana,186,139,47,177,147,30,154,135,19,138,119,19,113,94,19,118,87,31,185,100,85,241,192,49,350,309,41,180,155,25
63,Haiti,762,246,516,805,565,240,532,458,74,398,352,46,466,268,198,378,264,114,5759,343,5416,985,456,529,724,430,294,908,389,519
64,Honduras,22675,10883,11792,31724,13824,17900,36635,16598,20037,40877,14064,26813,20298,8556,11742,22015,8592,13423,22162,9282,12880,28449,12732,15717,40747,17941,22806,20280,9543,10737
65,Hungary,82,19,63,74,23,51,66,29,37,60,25,35,28,11,17,30,17,13,115,13,102,82,24,58,65,23,42,45,15,30
66,India,754,162,592,587,163,424,458,135,323,445,107,338,523,134,389,712,103,609,695,160,535,841,459,382,1815,630,1185,2531,546,1985
67,Indonesia,390,31,359,221,20,201,121,21,100,66,11,55,41,9,32,35,9,26,80,16,64,112,28,84,93,41,52,75,33,42
68,Iran,76,19,57,41,13,28,33,10,23,20,7,13,22,12,10,21,12,9,19,8,11,20,13,7,26,16,10,20,15,5
69,Iraq,31,20,11,26,16,10,28,15,13,28,16,12,33,13,20,48,9,39,56,22,34,47,38,9,81,66,15,35,22,13
70,Ireland,62,28,34,45,24,21,51,22,29,31,14,17,22,13,9,25,15,10,32,15,17,43,24,19,31,13,18,17,10,7
71,Israel,241,44,197,197,41,156,129,34,95,108,31,77,103,23,80,81,16,65,116,35,81,137,105,32,155,132,23,127,113,14
72,Italy,134,45,89,115,47,68,121,51,70,90,43,47,71,38,33,49,20,29,109,35,74,128,52,76,124,55,69,116,26,90
73,Jamaica,1497,1230,267,1327,1157,170,1112,999,113,1043,834,209,868,641,227,1081,620,461,1110,678,432,1097,1003,94,1323,1225,98,1236,1166,70
74,Japan,37,15,22,37,14,23,48,18,30,36,11,25,34,12,22,29,6,23,31,10,21,39,24,15,29,23,6,26,11,15
75,Jordan,124,54,70,94,36,58,66,32,34,74,33,41,95,25,70,125,39,86,141,39,102,124,96,28,138,98,40,91,68,23
76,Kazakhstan,40,8,32,35,13,22,23,8,15,18,5,13,14,4,10,22,5,17,26,6,20,37,27,10,61,49,12,53,34,19
77,Kenya,170,59,111,138,90,48,110,68,42,89,61,28,80,55,25,74,33,41,109,52,57,156,109,47,157,129,28,124,94,30
78,"Korea, South",429,169,260,374,181,193,260,134,126,226,129,97,149,68,81,149,88,61,168,80,88,157,92,65,184,109,75,157,70,87
79,Kosovo,29,14,15,27,15,12,22,13,9,10,7,3,12,9,3,11,6,5,11,4,7,13,5,8,18,10,8,19,13,6
80,Kuwait,11,6,5,5,0,5,6,2,2,4,0,4,7,2,2,24,2,2,21,3,18,20,14,6,22,17,5,15,11,4
81,Kyrgyzstan,15,2,2,10,2,2,11,2,2,23,2,2,6,2,2,6,2,2,12,3,9,10,4,6,19,4,15,8,2,2
82,Laos,20,4,16,11,2,2,10,5,5,3,0,3,2,2,2,0,0,0,7,2,2,9,4,5,6,2,2,11,2,2
