,RemovedCountry,2011,2012,2013,2014,2015,2016 1,2017,2018,2019,2020
0,Total,322046,231106,178975,163838,129661,106454,100694,159933,171126,167327
1,Afghanistan,92,55,44,37,48,44,56,55,63,35
2,Albania,35,49,23,32,15,26,56,84,50,48
3,Algeria,52,62,39,29,88,200,52,188,250,517
4,Angola,10,22,17,37,21,14,21,29,30,16
5,Antigua and Barbuda,7,16,8,11,10,9,9,10,9,5
6,Argentina,86,66,70,83,80,58,93,79,104,168
7,Armenia,5,12,7,4,13,8,27,20,31,37
8,Australia,353,346,393,385,460,467,566,471,518,387
9,Austria,56,54,46,34,32,32,53,60,59,36
10,Azerbaijan,53,14,26,22,23,18,18,31,33,23
11,Bahamas,433,415,486,552,449,142,222,316,320,1064
12,Bahrain,4,8,3,11,2,7,22,7,5,5
13,Bangladesh,243,240,172,169,198,120,159,336,308,482
14,Barbados,42,39,24,20,19,13,12,16,18,14
15,Belarus,72,43,25,22,31,16,25,38,37,66
16,Belgium,111,103,100,106,71,80,102,146,133,94
17,Belize,41,38,35,35,28,25,31,25,28,15
18,Benin,22,11,19,17,16,19,8,43,23,57
19,Bolivia,97,91,46,35,19,28,37,39,33,24
20,Bosnia and Herzegovina,22,25,10,17,15,20,19,33,42,23
21,Brazil,721,566,513,490,481,387,520,854,845,1032
22,Bulgaria,204,185,119,54,137,82,58,152,191,266
23,Burkina Faso,9,18,12,22,23,37,16,61,19,28
24,Burma,2582,2337,1920,1888,2012,1444,625,2603,3122,2808
25,Burundi,11,12,12,7,6,8,9,9,10,9
26,Cabo Verde,25,29,10,9,5,6,10,35,20,16
27,Cambodia,16,16,13,11,8,13,13,6,11,9
28,Cameroon,67,48,49,35,73,69,62,115,56,157
29,Canada,28271,27041,23962,23268,22542,18415,18538,18141,18521,14050
30,Chad,2,4,2,9,4,7,9,5,8,10
31,Chile,121,86,118,174,268,363,496,474,592,592
32,"China, People's Republic",16331,11854,11753,12324,12865,8693,5246,16546,17843,15016
33,Colombia,655,439,474,387,530,596,794,814,990,695
34,"Congo, Democratic Republic",11,29,17,32,74,36,33,63,71,48
35,"Congo, Republic",33,14,19,16,6,7,11,22,12,22
36,Costa Rica,131,99,54,54,59,61,78,103,85,78
37,Cote d'Ivoire,43,19,19,24,30,26,20,97,68,91
38,Croatia,157,88,79,87,101,107,62,190,202,428
39,Cuba,106,90,79,64,56,106,208,146,136,251
40,Cyprus,5,10,5,11,15,12,7,25,14,19
41,Czechia,105,144,133,104,130,88,142,126,122,72
42,Czechoslovakia (former),23,4,6,2,2,0,0,0,0,0
43,Denmark,72,74,59,46,52,48,64,62,66,109
44,Dominica,33,29,27,9,18,40,9,24,16,24
45,Dominican Republic,764,777,546,329,386,415,532,786,637,554
46,Ecuador,325,323,215,189,245,203,284,262,413,375
47,Egypt,324,303,189,188,166,164,194,279,306,308
48,El Salvador,1045,937,647,505,435,471,595,876,1048,791
49,Eritrea,10,10,10,9,18,21,20,33,20,11
50,Estonia,41,29,35,26,44,29,33,67,35,53
51,Ethiopia,52,36,48,62,58,51,77,135,123,111
52,Fiji,73,50,57,47,33,63,80,51,55,39
53,Finland,50,39,32,41,46,103,109,75,76,53
54,France,853,662,610,688,596,653,730,1444,998,1639
55,Gabon,10,4,6,5,12,5,16,14,9,12
56,Gambia,15,10,9,2,3,11,9,16,11,8
57,Georgia,111,82,80,71,72,96,26,104,257,390
58,Germany,624,554,493,432,413,408,511,650,542,490
59,Ghana,152,134,84,65,93,72,93,150,149,214
60,Greece,292,295,372,453,436,376,242,658,712,782
61,Grenada,16,22,22,18,14,16,13,62,37,23
62,Guatemala,3010,2346,1390,1140,813,899,1338,2211,2679,2160
