"","X","LPRin","LPRs","year"
"1","Africa","CA",6813,"2005"
"2","Africa","TX",6635,"2005"
"3","Africa","FL",3150,"2005"
"4","Africa","NY",7987,"2005"
"5","Africa","WA.OR",2535,"2005"
"6","Africa","AZ.NM.NV.UT.CO",3504,"2005"
"7","Africa","MT.WY.ID.ND.SD.NE",1107,"2005"
"8","Africa","KS.OK.MO.AR.IA.TN.KY",4533,"2005"
"9","Africa","LA.MS.AL.GA",5397,"2005"
"10","Africa","MN.WI.IL",9565,"2005"
"11","Africa","IN.MI.OH.WV",5486,"2005"
"12","Africa","SC.NC.VA",6634,"2005"
"13","Africa","MD.DC.DE.PA.NJ",14603,"2005"
"14","Africa","CT.RI.MA.NH.VT.ME",7036,"2005"
"15","Africa","Other",81,"2005"
"16","Asia Other","CA",74148,"2005"
"17","Asia Other","TX",18603,"2005"
"18","Asia Other","FL",9769,"2005"
"19","Asia Other","NY",24997,"2005"
"20","Asia Other","WA.OR",8261,"2005"
"21","Asia Other","AZ.NM.NV.UT.CO",9609,"2005"
"22","Asia Other","MT.WY.ID.ND.SD.NE",1665,"2005"
"23","Asia Other","KS.OK.MO.AR.IA.TN.KY",8880,"2005"
"24","Asia Other","LA.MS.AL.GA",9806,"2005"
"25","Asia Other","MN.WI.IL",14563,"2005"
"26","Asia Other","IN.MI.OH.WV",12513,"2005"
"27","Asia Other","SC.NC.VA",12922,"2005"
"28","Asia Other","MD.DC.DE.PA.NJ",23510,"2005"
"29","Asia Other","CT.RI.MA.NH.VT.ME",9197,"2005"
"30","Asia Other","Other",5523,"2005"
"31","Europe","CA",22806,"2005"
"32","Europe","TX",7382,"2005"
"33","Europe","FL",12628,"2005"
"34","Europe","NY",24653,"2005"
"35","Europe","WA.OR",13087,"2005"
"36","Europe","AZ.NM.NV.UT.CO",7680,"2005"
"37","Europe","MT.WY.ID.ND.SD.NE",2033,"2005"
"38","Europe","KS.OK.MO.AR.IA.TN.KY",8533,"2005"
"39","Europe","LA.MS.AL.GA",6220,"2005"
"40","Europe","MN.WI.IL",20435,"2005"
"41","Europe","IN.MI.OH.WV",11645,"2005"
"42","Europe","SC.NC.VA",7237,"2005"
"43","Europe","MD.DC.DE.PA.NJ",18340,"2005"
"44","Europe","CT.RI.MA.NH.VT.ME",12995,"2005"
"45","Europe","Other",699,"2005"
"46","N.Amer. Other","CA",21245,"2005"
"47","N.Amer. Other","TX",8810,"2005"
"48","N.Amer. Other","FL",55618,"2005"
"49","N.Amer. Other","NY",35634,"2005"
"50","N.Amer. Other","WA.OR",2414,"2005"
"51","N.Amer. Other","AZ.NM.NV.UT.CO",4830,"2005"
