"","X","NATZin","NATZs","year"
"1","Africa","CA",4456,"2005"
"2","Africa","TX",2941,"2005"
"3","Africa","FL",1216,"2005"
"4","Africa","NY",3893,"2005"
"5","Africa","WA.OR",1314,"2005"
"6","Africa","AZ.NM.NV.UT.CO",1333,"2005"
"7","Africa","MT.WY.ID.ND.SD.NE",262,"2005"
"8","Africa","KS.OK.MO.AR.IA.TN.KY",1304,"2005"
"9","Africa","LA.MS.AL.GA",1382,"2005"
"10","Africa","MN.WI.IL",4053,"2005"
"11","Africa","IN.MI.OH.WV",2815,"2005"
"12","Africa","SC.NC.VA",3389,"2005"
"13","Africa","MD.DC.DE.PA.NJ",6260,"2005"
"14","Africa","CT.RI.MA.NH.VT.ME",3629,"2005"
"15","Africa","Other",534,"2005"
"16","Asia Other","CA",67227,"2005"
"17","Asia Other","TX",10478,"2005"
"18","Asia Other","FL",4343,"2005"
"19","Asia Other","NY",14389,"2005"
"20","Asia Other","WA.OR",7532,"2005"
"21","Asia Other","AZ.NM.NV.UT.CO",5726,"2005"
"22","Asia Other","MT.WY.ID.ND.SD.NE",756,"2005"
"23","Asia Other","KS.OK.MO.AR.IA.TN.KY",4252,"2005"
"24","Asia Other","LA.MS.AL.GA",3237,"2005"
"25","Asia Other","MN.WI.IL",9953,"2005"
"26","Asia Other","IN.MI.OH.WV",7417,"2005"
"27","Asia Other","SC.NC.VA",8460,"2005"
"28","Asia Other","MD.DC.DE.PA.NJ",13249,"2005"
"29","Asia Other","CT.RI.MA.NH.VT.ME",6961,"2005"
"30","Asia Other","Other",5412,"2005"
"31","Europe","CA",15318,"2005"
"32","Europe","TX",2912,"2005"
"33","Europe","FL",4995,"2005"
"34","Europe","NY",16928,"2005"
"35","Europe","WA.OR",5042,"2005"
"36","Europe","AZ.NM.NV.UT.CO",4344,"2005"
"37","Europe","MT.WY.ID.ND.SD.NE",912,"2005"
"38","Europe","KS.OK.MO.AR.IA.TN.KY",2559,"2005"
"39","Europe","LA.MS.AL.GA",1633,"2005"
"40","Europe","MN.WI.IL",11446,"2005"
"41","Europe","IN.MI.OH.WV",6728,"2005"
"42","Europe","SC.NC.VA",3156,"2005"
"43","Europe","MD.DC.DE.PA.NJ",10740,"2005"
"44","Europe","CT.RI.MA.NH.VT.ME",8953,"2005"
"45","Europe","Other",1705,"2005"
"46","N.Amer. Other","CA",14986,"2005"
"47","N.Amer. Other","TX",3411,"2005"
"48","N.Amer. Other","FL",22212,"2005"
"49","N.Amer. Other","NY",25932,"2005"
"50","N.Amer. Other","WA.OR",1116,"2005"
"51","N.Amer. Other","AZ.NM.NV.UT.CO",2022,"2005"
"52","N.Amer. Other","MT.WY.ID.ND.SD.NE",351,"2005"
"53","N.Amer. Other","KS.OK.MO.AR.IA.TN.KY",1235,"2005"
"54","N.Amer. Other","LA.MS.AL.GA",1889,"2005"
"55","N.Amer. Other","MN.WI.IL",1776,"2005"
"56","N.Amer. Other","IN.MI.OH.WV",1609,"2005"
"57","N.Amer. Other","SC.NC.VA",3330,"2005"
"58","N.Amer. Other","MD.DC.DE.PA.NJ",11684,"2005"
"59","N.Amer. Other","CT.RI.MA.NH.VT.ME",8968,"2005"
"60","N.Amer. Other","Other",1350,"2005"
"61","Oceania","CA",1921,"2005"
"62","Oceania","TX",239,"2005"
"63","Oceania","FL",87,"2005"
"64","Oceania","NY",128,"2005"
"65","Oceania","WA.OR",333,"2005"
"66","Oceania","AZ.NM.NV.UT.CO",255,"2005"
"67","Oceania","MT.WY.ID.ND.SD.NE",41,"2005"
"68","Oceania","KS.OK.MO.AR.IA.TN.KY",62,"2005"
"69","Oceania","LA.MS.AL.GA",37,"2005"
"70","Oceania","MN.WI.IL",85,"2005"
"71","Oceania","IN.MI.OH.WV",77,"2005"
"72","Oceania","SC.NC.VA",113,"2005"
"73","Oceania","MD.DC.DE.PA.NJ",120,"2005"
"74","Oceania","CT.RI.MA.NH.VT.ME",122,"2005"
"75","Oceania","Other",275,"2005"
"76","S.Amer.","CA",5116,"2005"
"77","S.Amer.","TX",1609,"2005"
"78","S.Amer.","FL",7746,"2005"
"79","S.Amer.","NY",11694,"2005"
"80","S.Amer.","WA.OR",422,"2005"
"81","S.Amer.","AZ.NM.NV.UT.CO",1056,"2005"
"82","S.Amer.","MT.WY.ID.ND.SD.NE",98,"2005"
"83","S.Amer.","KS.OK.MO.AR.IA.TN.KY",568,"2005"
"84","S.Amer.","LA.MS.AL.GA",669,"2005"
"85","S.Amer.","MN.WI.IL",1123,"2005"
"86","S.Amer.","IN.MI.OH.WV",611,"2005"
"87","S.Amer.","SC.NC.VA",2364,"2005"
"88","S.Amer.","MD.DC.DE.PA.NJ",7443,"2005"
"89","S.Amer.","CT.RI.MA.NH.VT.ME",3084,"2005"
"90","S.Amer.","Other",569,"2005"
"91","Mexico","CA",40510,"2005"
"92","Mexico","TX",12736,"2005"
"93","Mexico","FL",1039,"2005"
"94","Mexico","NY",1021,"2005"
"95","Mexico","WA.OR",1892,"2005"
"96","Mexico","AZ.NM.NV.UT.CO",6615,"2005"
"97","Mexico","MT.WY.ID.ND.SD.NE",743,"2005"
"98","Mexico","KS.OK.MO.AR.IA.TN.KY",1563,"2005"
"99","Mexico","LA.MS.AL.GA",651,"2005"
"100","Mexico","MN.WI.IL",5702,"2005"
"101","Mexico","IN.MI.OH.WV",1112,"2005"
"102","Mexico","SC.NC.VA",882,"2005"
"103","Mexico","MD.DC.DE.PA.NJ",834,"2005"
"104","Mexico","CT.RI.MA.NH.VT.ME",337,"2005"
"105","Mexico","Other",1399,"2005"
"106","India","CA",8092,"2005"
"107","India","TX",3051,"2005"
"108","India","FL",939,"2005"
"109","India","NY",3507,"2005"
"110","India","WA.OR",843,"2005"
"111","India","AZ.NM.NV.UT.CO",594,"2005"
"112","India","MT.WY.ID.ND.SD.NE",86,"2005"
"113","India","KS.OK.MO.AR.IA.TN.KY",948,"2005"
"114","India","LA.MS.AL.GA",1031,"2005"
"115","India","MN.WI.IL",3555,"2005"
"116","India","IN.MI.OH.WV",2370,"2005"
"117","India","SC.NC.VA",1925,"2005"
"118","India","MD.DC.DE.PA.NJ",6924,"2005"
"119","India","CT.RI.MA.NH.VT.ME",1777,"2005"
"120","India","Other",308,"2005"
"121","China","CA",12659,"2005"
"122","China","TX",1047,"2005"
"123","China","FL",363,"2005"
"124","China","NY",7061,"2005"
"125","China","WA.OR",1049,"2005"
"126","China","AZ.NM.NV.UT.CO",630,"2005"
"127","China","MT.WY.ID.ND.SD.NE",93,"2005"
"128","China","KS.OK.MO.AR.IA.TN.KY",424,"2005"
"129","China","LA.MS.AL.GA",336,"2005"
"130","China","MN.WI.IL",1277,"2005"
"131","China","IN.MI.OH.WV",948,"2005"
"132","China","SC.NC.VA",753,"2005"
"133","China","MD.DC.DE.PA.NJ",2512,"2005"
"134","China","CT.RI.MA.NH.VT.ME",1839,"2005"
"135","China","Other",650,"2005"
"136","Africa","CA",4206,"2006"
"137","Africa","TX",2996,"2006"
"138","Africa","FL",2083,"2006"
"139","Africa","NY",5792,"2006"
"140","Africa","WA.OR",1309,"2006"
"141","Africa","AZ.NM.NV.UT.CO",1738,"2006"
"142","Africa","MT.WY.ID.ND.SD.NE",454,"2006"
"143","Africa","KS.OK.MO.AR.IA.TN.KY",1688,"2006"
"144","Africa","LA.MS.AL.GA",3706,"2006"
"145","Africa","MN.WI.IL",5158,"2006"
"146","Africa","IN.MI.OH.WV",2979,"2006"
"147","Africa","SC.NC.VA",5052,"2006"
"148","Africa","MD.DC.DE.PA.NJ",8266,"2006"
"149","Africa","CT.RI.MA.NH.VT.ME",4220,"2006"
"150","Africa","Other",734,"2006"
"151","Asia Other","CA",57177,"2006"
"152","Asia Other","TX",9604,"2006"
"153","Asia Other","FL",7558,"2006"
"154","Asia Other","NY",17730,"2006"
"155","Asia Other","WA.OR",5723,"2006"
